m49,iso_alpha,country_name,continent
004,AFG,Afghanistan,Asia
248,ALA,Aland Islands,Europe
008,ALB,Albania,Europe
012,DZA,Algeria,Africa
016,ASM,American Samoa,Oceania
020,AND,Andorra,Europe
024,AGO,Angola,Africa
660,AIA,Anguilla,North America
010,ATA,Antarctica,
028,ATG,Antigua and Barbuda,North America
032,ARG,Argentina,South America
051,ARM,Armenia,Asia
533,ABW,Aruba,North America
036,AUS,Australia,Oceania
040,AUT,Austria,Europe
031,AZE,Azerbaijan,Asia
044,BHS,Bahamas,North America
048,BHR,Bahrain,Asia
050,BGD,Bangladesh,Asia
052,BRB,Barbados,North America
112,BLR,Belarus,Europe
056,BEL,Belgium,Europe
084,BLZ,Belize,North America
204,BEN,Benin,Africa
060,BMU,Bermuda,North America
064,BTN,Bhutan,Asia
068,BOL,Bolivia,South America
535,BES,Bonaire Sint Eustatius and Saba,North America
070,BIH,Bosnia and Herzegovina,Europe
072,BWA,Botswana,Africa
074,BVT,Bouvet Island,Americas
076,BRA,Brazil,South America
086,IOT,British Indian Ocean Territory,Asia
096,BRN,Brunei,Asia
100,BGR,Bulgaria,Europe
854,BFA,Burkina Faso,Africa
108,BDI,Burundi,Africa
132,CPV,Cape Verde,Africa
116,KHM,Cambodia,Asia
120,CMR,Cameroon,Africa
124,CAN,Canada,North America
136,CYM,Cayman Islands,North America
140,CAF,Central African Republic,Africa
148,TCD,Chad,Africa
152,CHL,Chile,South America
156,CHN,China,Asia
162,CXR,Christmas Island,Asia
166,CCK,Cocos Islands,Asia
170,COL,Colombia,South America
174,COM,Comoros,Africa
178,COG,Congo,Africa
180,COD,Democratic Republic of Congo,Africa
184,COK,Cook Islands,Oceania
188,CRI,Costa Rica,North America
384,CIV,Cote d'Ivoire,Africa
191,HRV,Croatia,Europe
192,CUB,Cuba,North America
531,CUW,Curacao,North America
196,CYP,Cyprus,Europe
203,CZE,Czechia,Europe
208,DNK,Denmark,Europe
262,DJI,Djibouti,Africa
212,DMA,Dominica,North America
214,DOM,Dominican Republic,North America
218,ECU,Ecuador,South America
818,EGY,Egypt,Africa
222,SLV,El Salvador,North America
226,GNQ,Equatorial Guinea,Africa
232,ERI,Eritrea,Africa
233,EST,Estonia,Europe
748,SWZ,Eswatini,Africa
231,ETH,Ethiopia,Africa
238,FLK,Falkland Islands,South America
234,FRO,Faroe Islands,Europe
242,FJI,Fiji,Oceania
246,FIN,Finland,Europe
250,FRA,France,Europe
254,GUF,French Guiana,South America
258,PYF,French Polynesia,Oceania
260,ATF,French Southern Territories,Africa
266,GAB,Gabon,Africa
270,GMB,Gambia,Africa
268,GEO,Georgia,Asia
276,DEU,Germany,Europe
288,GHA,Ghana,Africa
292,GIB,Gibraltar,Europe
300,GRC,Greece,Europe
304,GRL,Greenland,North America
308,GRD,Grenada,North America
312,GLP,Guadeloupe,North America
316,GUM,Guam,Oceania
320,GTM,Guatemala,North America
831,GGY,Guernsey,Europe
324,GIN,Guinea,Africa
624,GNB,Guinea-Bissau,Africa
328,GUY,Guyana,South America
332,HTI,Haiti,North America
334,HMD,Heard Island and McDonald Islands,Oceania
336,VAT,Vatican,Europe
340,HND,Honduras,North America
344,HKG,Hong Kong,Asia
348,HUN,Hungary,Europe
352,ISL,Iceland,Europe
356,IND,India,Asia
360,IDN,Indonesia,Asia
364,IRN,Iran,Asia
368,IRQ,Iraq,Asia
372,IRL,Ireland,Europe
833,IMN,Isle of Man,Europe
376,ISR,Israel,Asia
380,ITA,Italy,Europe
388,JAM,Jamaica,North America
392,JPN,Japan,Asia
832,JEY,Jersey,Europe
400,JOR,Jordan,Asia
398,KAZ,Kazakhstan,Asia
404,KEN,Kenya,Africa
296,KIR,Kiribati,Oceania
408,PRK,North Korea,Asia
410,KOR,South Korea,Asia
414,KWT,Kuwait,Asia
417,KGZ,Kyrgyzstan,Asia
418,LAO,Laos,Asia
428,LVA,Latvia,Europe
422,LBN,Lebanon,Asia
426,LSO,Lesotho,Africa
430,LBR,Liberia,Africa
434,LBY,Libya,Africa
438,LIE,Liechtenstein,Europe
440,LTU,Lithuania,Europe
442,LUX,Luxembourg,Europe
446,MAC,Macao,Asia
450,MDG,Madagascar,Africa
454,MWI,Malawi,Africa
458,MYS,Malaysia,Asia
462,MDV,Maldives,Asia
466,MLI,Mali,Africa
470,MLT,Malta,Europe
584,MHL,Marshall Islands,Oceania
474,MTQ,Martinique,North America
478,MRT,Mauritania,Africa
480,MUS,Mauritius,Africa
175,MYT,Mayotte,Africa
484,MEX,Mexico,North America
583,FSM,Micronesia (country),Oceania
498,MDA,Moldova,Europe
492,MCO,Monaco,Europe
496,MNG,Mongolia,Asia
499,MNE,Montenegro,Europe
500,MSR,Montserrat,North America
504,MAR,Morocco,Africa
508,MOZ,Mozambique,Africa
104,MMR,Myanmar,Asia
516,NAM,Namibia,Africa
520,NRU,Nauru,Oceania
524,NPL,Nepal,Asia
528,NLD,Netherlands,Europe
540,NCL,New Caledonia,Oceania
554,NZL,New Zealand,Oceania
558,NIC,Nicaragua,North America
562,NER,Niger,Africa
566,NGA,Nigeria,Africa
570,NIU,Niue,Oceania
574,NFK,Norfolk Island,Oceania
807,MKD,North Macedonia,Europe
580,MNP,Northern Mariana Islands,Oceania
578,NOR,Norway,Europe
512,OMN,Oman,Asia
586,PAK,Pakistan,Asia
585,PLW,Palau,Oceania
275,PSE,Palestine,Asia
591,PAN,Panama,North America
598,PNG,Papua New Guinea,Oceania
600,PRY,Paraguay,South America
604,PER,Peru,South America
608,PHL,Philippines,Asia
612,PCN,Pitcairn,Oceania
616,POL,Poland,Europe
620,PRT,Portugal,Europe
630,PRI,Puerto Rico,North America
634,QAT,Qatar,Asia
638,REU,Reunion,Africa
642,ROU,Romania,Europe
643,RUS,Russia,Europe
646,RWA,Rwanda,Africa
652,BLM,Saint Barthelemy,North America
654,SHN,Saint Helena,Africa
659,KNA,Saint Kitts and Nevis,North America
662,LCA,Saint Lucia,North America
663,MAF,Saint Martin (French part),North America
666,SPM,Saint Pierre and Miquelon,North America
670,VCT,Saint Vincent and the Grenadines,North America
882,WSM,Samoa,Oceania
674,SMR,San Marino,Europe
678,STP,Sao Tome and Principe,Africa
682,SAU,Saudi Arabia,Asia
686,SEN,Senegal,Africa
688,SRB,Serbia,Europe
690,SYC,Seychelles,Africa
694,SLE,Sierra Leone,Africa
702,SGP,Singapore,Asia
534,SXM,Sint Maarten (Dutch part),North America
703,SVK,Slovakia,Europe
705,SVN,Slovenia,Europe
090,SLB,Solomon Islands,Oceania
706,SOM,Somalia,Africa
710,ZAF,South Africa,Africa
239,SGS,South Georgia and the South Sandwich Islands,South America
728,SSD,South Sudan,Africa
724,ESP,Spain,Europe
144,LKA,Sri Lanka,Asia
729,SDN,Sudan,Africa
740,SUR,Suriname,South America
744,SJM,Svalbard and Jan Mayen,Europe
752,SWE,Sweden,Europe
756,CHE,Switzerland,Europe
760,SYR,Syria,Asia
158,TWN,Taiwan,Asia
762,TJK,Tajikistan,Asia
834,TZA,Tanzania,Africa
764,THA,Thailand,Asia
626,TLS,East Timor,Asia
768,TGO,Togo,Africa
772,TKL,Tokelau,Oceania
776,TON,Tonga,Oceania
780,TTO,Trinidad and Tobago,North America
788,TUN,Tunisia,Africa
792,TUR,Turkey,Asia
795,TKM,Turkmenistan,Asia
796,TCA,Turks and Caicos Islands,North America
798,TUV,Tuvalu,Oceania
800,UGA,Uganda,Africa
804,UKR,Ukraine,Europe
784,ARE,United Arab Emirates,Asia
826,GBR,United Kingdom,Europe
840,USA,United States,North America
581,UMI,United States Minor Outlying Islands,Oceania
858,URY,Uruguay,South America
860,UZB,Uzbekistan,Asia
548,VUT,Vanuatu,Oceania
862,VEN,Venezuela,South America
704,VNM,Vietnam,Asia
092,VGB,British Virgin Islands,North America
850,VIR,United States Virgin Islands,North America
876,WLF,Wallis and Futuna,Oceania
732,ESH,Western Sahara,Africa
887,YEM,Yemen,Asia
894,ZMB,Zambia,Africa
716,ZWE,Zimbabwe,Africa
